"","order_id","products"
"1",2421,"c(21709, 35221, 3957, 39947, 343, 32578, 28985, 40541, 47873, 49683, 26604)"
"2",4372,"c(49175, 27156, 17600, 18094, 21137, 41165, 2078, 27323, 21096, 49235, 48171, 3142, 40910, 31343, 18200, 46584, 22035)"
"3",4602,"c(45633, 329, 18465, 45582, 28601, 24964, 21903, 30463)"
"4",7617,"c(22227, 36651, 25659, 16521)"
"5",7908,"c(24852, 19348, 36011, 39877, 47630)"
"6",8038,"280"
"7",9071,"c(13176, 15285, 18362, 9421, 13249, 6187, 2344, 13535, 36735, 26768, 27086, 21872, 15861, 9864)"
"8",10338,"c(38159, 26606, 5785, 39527, 43154)"
"9",12881,"c(41541, 22935, 13431, 23737, 28204, 36865, 43662, 13870, 47209)"
"10",14453,"c(32299, 21174, 47209)"
"11",14729,"c(24852, 38548, 11210, 16797, 14493, 14320, 1263, 45116, 1199, 16020, 3298, 35923, 46041, 17264, 29657, 19348, 4210, 42931, 34582, 20955)"
"12",16258,"c(3957, 5428, 4790, 22220, 17429, 45416)"
"13",16983,"c(9666, 38028, 29310, 24852, 47766, 6655, 22035, 25837, 9387, 31927, 20345, 9092)"
"14",17751,"c(5077, 1875, 2238)"
"15",18531,"c(24852, 27841, 459, 3358, 4447, 31725, 23341)"
"16",18925,"c(11777, 21043, 5212, 19660, 48679, 46906, 21081, 7179, 24236, 40723, 29413, 31801)"
"17",18967,"c(9076, 10613)"
"18",19588,"c(4261, 47626, 34004)"
"19",20345,"c(11440, 1203, 9421, 10267, 13113, 17600, 26521, 10369, 27966, 45368, 37646, 24852, 16797, 47241, 20754, 22825, 49683, 27548, 42265)"
"20",21279,"c(6846, 24852, 26384, 4210, 9515, 8859, 15125, 47785, 29363, 3308, 3040, 20708, 14154, 35618, 39823)"
"21",21969,"c(34429, 20842, 24852, 26604, 11777, 5262, 25890, 21019, 43961)"
"22",22453,"c(19003, 45007, 46676, 17794, 37022)"
"23",22923,"c(15070, 39216, 19057, 14652, 1244, 30494, 23015, 22963, 45633, 44422, 26790, 43961, 30719, 12962, 27104)"
"24",23097,"c(21137, 18023, 15680, 47348, 42265, 19887, 15680, 35269, 38883)"
"25",24477,"c(13829, 33575, 28199, 401, 24768, 23543, 18441, 691)"
"26",25095,"c(23909, 1548, 32102, 12140, 19585, 29956, 6558, 38557, 40073, 47683, 2225, 25316, 8662)"
"27",25154,"c(13848, 23734, 8555, 33279, 34034, 12206, 7361, 22474, 47626, 26209, 21288, 38777, 24204, 27471, 16185, 31343, 44142, 38988, 31506, 48017)"
"28",25663,"c(9948, 24838, 27966)"
"29",27168,"c(21137, 4799, 33731, 24852, 5479, 1940, 781, 12341, 6567, 7371, 16469, 19268)"
"30",28467,"c(3274, 35510, 23959, 27344, 22035, 27845, 40396, 11452, 27086, 32757, 24518, 9550, 25199, 47626, 13852, 8277, 4692, 6587, 10369, 10017, 28597, 22035, 35108, 13176, 4920, 8174, 9495, 37472, 23959, 30391, 40396)"
"31",31052,"c(43352, 38768, 21903, 6184, 13176, 19887, 44371, 39275)"
"32",31192,"c(4895, 41116, 34160, 42535, 4770, 30106, 13029, 3260, 13944, 21349, 48496, 31394, 47842)"
"33",31927,"38371"
"34",32109,"c(14992, 47766, 24852, 10831, 27845, 31371, 45763, 45066, 25890, 5479, 16797, 2611, 162, 22035, 39877)"
"35",32690,"c(5120, 47209, 9839, 27104, 8518, 23288, 22556, 41697, 30353, 25533, 30489, 22935, 30391, 38383, 42585, 21386)"
"36",33006,"c(30571, 13176, 12732, 2320, 8414, 34530, 1862, 29675, 27104, 39275, 47924, 22935, 29397, 19057)"
"37",34042,"35951"
"38",34550,"c(31682, 21174, 30820, 26728, 16869, 2480)"
"39",34707,"c(11422, 40877, 39649, 7177, 23614, 21949, 46817, 33791, 33548, 44156, 49520, 48626, 36011, 38241, 23296, 23106, 1940, 42598)"
"40",35214,"c(38693, 24852, 32463, 27544, 30480, 8670, 11408, 11755, 16137, 23094, 27093, 4921, 36315, 32486, 41593, 33401, 48099, 28985, 21616)"
"41",35635,"c(1463, 34668, 10798, 30489, 10926, 30391, 48056)"
"42",36878,"c(432, 42450, 46175, 45681, 14947, 12206, 1057, 46049, 18288, 44310, 45541, 22289, 45302, 39692, 49666)"
"43",38644,"c(16757, 13176, 21616, 16611, 14852, 46413, 47875, 48825, 35072, 31717)"
"44",38977,"c(9755, 25466, 45437)"
"45",39116,"c(43945, 43193, 9092, 46720, 22935, 17706, 6187, 18718, 12980, 25931, 37973, 40706)"
"46",41924,"c(43310, 30146, 37646, 14240, 45448, 31373, 2825, 24946, 46979, 40706, 27344, 49131, 16617, 37664, 21616)"
"47",42002,"c(8228, 32645, 40332, 15923, 46479, 36058, 39922, 33493, 8475, 34254, 30638, 27710, 4347, 40136, 121, 27196, 11265)"
"48",44001,"c(3957, 25371)"
"49",44031,"c(24852, 41960, 9561, 2086, 37646, 21903, 11520)"
"50",45013,"c(27117, 13913, 38948, 46822, 17487, 48058, 42612, 45599, 49235, 23576, 27086, 13241, 15981, 10070, 44327, 43136, 22648, 32608)"
"51",45219,"c(27336, 8006, 9339, 30391, 29398, 40604, 45965, 21890, 21616, 21137, 24852, 17706, 6046, 1576, 20152)"
"52",49388,"c(47763, 20995, 39570, 920, 14461, 40723, 31737)"
"53",49871,"c(12508, 41259, 21010, 16020)"
"54",53885,"c(41570, 43545, 4793, 13176, 9839, 27104)"
"55",53886,"c(27933, 46667, 5025, 39275, 47194)"
"56",55198,"c(35727, 20708, 34827, 14620, 24925, 10199, 8138, 7361, 48290, 34234, 42936, 17431, 12087, 34269)"
"57",55455,"c(37523, 44169, 16896, 19660, 40396, 5212, 5876, 26940)"
